ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0045296,cadherin binding,84/761,149/1862,0.563758389,1.379393063,4.013060377,4.99E-05,0.008764057,0.007727194,P50402/Q13813/Q9Y5K6/P55010/P21333/Q01082/P49327/P08238/P30041/Q06830/P06733/P37802/Q15365/Q9UBC2/P14618/P07737/P11142/Q00341/Q15691/P61978/Q92522/Q9BY44/Q14677/P11021/P46060/P18206/Q8WWM7/Q9HC38/Q07960/O75369/Q9Y490/P31939/Q99497/Q01970/P00338/Q09666/P08195/Q8NC51/Q9UHD8/P35579/P42167/P13639/Q15149/Q9UJU6/Q96AG4/Q9C0C2/Q96HC4/O76021/Q05682/Q92616/O00571/P63244/P49207/Q16643/Q15019/P42566/Q9Y6E2/Q32MZ4/P31949/P50990/Q01813/P62258/P29692/Q14008/P62826/P35221/P25685/Q6Y7W6/P26641/Q96DB9/Q9Y266/P46940/O95292/Q9BR76/Q08378/Q6PKG0/Q14C86/P22234/Q9UDY2/Q14247/Q99961/P49959/Q9Y265/O14530,84
MF,GO:0140657,ATP-dependent activity,74/761,130/1862,0.569230769,1.392782776,3.859419818,9.48E-05,0.011092389,0.009780064,P49368/Q08211/Q9UN37/Q92841/P43686/P17980/P36542/P10809/P12956/P08238/O95347/P06576/P60842/P14625/P34932/P38646/Q92878/Q9NTJ3/O43681/P11142/Q9UBE0/P13010/Q12931/P55072/P11021/P50991/Q9Y3D8/Q13283/P25205/P05023/Q92900/Q13564/Q14204/Q14566/Q8NB49/Q8WVB6/P25705/P35579/Q02224/P33992/P35249/Q9UKV3/Q92598/Q9UQE7/O76031/Q12830/Q13838/O00571/Q99832/Q96CM8/Q7L2E3/P17844/P48643/P78371/O95573/P50990/O75643/P40227/A0AVT1/Q8TB37/P62195/P07900/P22314/Q8N3C0/Q9Y4L1/Q7L014/Q9Y230/Q9NR30/O95757/P36776/P49959/Q9Y265/P11388/Q9GZZ9,74
BP,GO:0044281,Small molecule metabolic process,129/748,244/1817,0.528688525,1.284260761,3.990867734,4.93E-05,0.015908746,0.01524275,Q8IVS2/O43252/P22102/Q9H773/Q96PU8/P36542/P49327/P17858/P35520/P06576/P53396/P06733/P41250/P09874/Q96PE7/O43175/Q14376/P04406/P60174/P14618/P38117/Q9UHY7/P22059/P56537/P11142/Q00341/P36871/P54886/Q9Y617/P07237/P34897/P31153/P09960/O75390/P29401/P04040/P50213/P55072/P14174/P14550/P23786/Q9Y3D8/P31939/Q99497/P37837/Q16836/Q01469/P00338/O15067/P31040/Q5T6V5/P07954/O00116/P25705/P11586/Q9Y6M9/Q9BZX2/P28331/P40925/Q3SY69/P21796/O75964/P51659/Q8TD30/P07741/P49792/P30084/Q15043/P16152/P00492/Q96SU4/P24752/P11413/P30049/Q00796/P23921/P00558/P10515/O76031/Q6YP21/P11177/Q96CM8/P23526/O75367/Q9HBH5/Q06203/O95573/Q9Y303/Q01813/P25325/Q9Y6M7/Q99798/P06213/Q15185/P40926/O75844/Q96G03/Q16222/P62826/P09622/P24539/Q01432/Q9BZF3/P09936/Q99714/Q02252/O95139/P00918/O95394/Q06210/P40939/P09211/P07195/P52788/P22234/P55084/Q01581/P18847/Q9UDY2/Q8NCW5/P09972/Q13867/Q9UBK8/P00505/Q04760/Q15046/O15294/Q9NYU2/Q16531,129
BP,GO:0071897,DNA biosynthetic process,29/748,40/1817,0.725,1.761129679,4.070659789,4.98E-05,0.015908746,0.01524275,P49368/Q00839/P08238/Q6NT76/Q92878/P13010/Q14103/P55072/P50991/Q14694/Q15054/P09884/Q9HAF1/Q8WVB6/P35249/Q9C0C2/P23921/Q99832/Q96BK5/P48643/P78371/O94782/P50990/Q15185/P40227/P20248/P07900/P12004/P49959,29
MF,GO:0003678,DNA helicase activity,17/761,21/1862,0.80952381,1.980727113,3.756667785,1.97E-04,0.017159019,0.015128959,Q08211/P12956/Q92878/P13010/Q13283/P25205/Q92900/Q14566/Q8WVB6/P33992/P35249/O00571/Q7L2E3/Q8N3C0/Q9Y230/P49959/Q9Y265,17
MF,GO:0051082,Unfolded protein binding,33/761,50/1862,0.66,1.614875164,3.663234431,2.44E-04,0.017159019,0.015128959,P49368/Q99614/P50454/P10809/P08238/P14625/P38646/P11142/Q12931/P11021/Q13111/P50991/O76031/P31689/Q99832/P48643/P78371/Q96EY1/P62937/P50990/Q15185/P40227/P25685/P07900/Q9Y266/P06748/P61758/Q9Y4L1/O60925/Q9Y230/P68371/Q9NYU2/O15212,33
MF,GO:0050839,cell adhesion molecule binding,89/761,166/1862,0.536144578,1.311828127,3.498873668,3.51E-04,0.020533467,0.018104182,P50402/Q13813/Q9Y5K6/P55010/P21333/Q01082/P49327/P08238/P30041/Q06830/P06733/P37802/Q15365/Q9UBC2/P14618/P07737/P11142/Q00341/Q15691/P07237/P61978/Q92522/Q9BY44/Q14677/P11021/P46060/P18206/Q8WWM7/Q9HC38/Q07960/O75369/Q9Y490/P31939/Q99497/Q01970/P00338/Q09666/P08195/Q8NC51/Q9UHD8/P35579/P42167/P13639/Q15149/Q9UJU6/Q96AG4/Q9C0C2/Q9Y2I1/Q96HC4/O76021/Q05682/Q92616/O00571/P63244/P49207/Q16643/Q15019/P42566/Q9BY67/Q9Y6E2/Q32MZ4/P31949/P62937/P50990/Q01813/P62258/P29692/Q14008/P62826/P35221/P25685/Q6Y7W6/P26641/Q96DB9/Q9Y266/P46940/O95292/Q9BR76/Q08378/Q6PKG0/Q14C86/P22234/Q9UDY2/Q14247/Q99961/P49959/Q9Y265/O43707/O14530,89
MF,GO:0016835,carbon-oxygen lyase activity,14/761,17/1862,0.823529412,2.014995749,3.494317427,5.57E-04,0.027932645,0.024627973,P12956/P49327/P35520/P06733/P60174/P13010/Q99497/P07954/P51659/P30084/Q99798/P00918/P40939/P55084,14
MF,GO:0016887,ATP hydrolysis activity,57/761,101/1862,0.564356436,1.380856351,3.271252493,8.48E-04,0.037207871,0.03280586,P49368/Q08211/Q9UN37/Q92841/P43686/P17980/P36542/P10809/P12956/P08238/O95347/P06576/P60842/P14625/P38646/Q92878/Q9NTJ3/O43681/P11142/P13010/Q12931/P55072/P11021/P50991/Q9Y3D8/Q13283/P25205/P05023/Q92900/Q14204/Q14566/Q8NB49/Q8WVB6/P25705/P33992/P35249/Q9UKV3/Q9UQE7/O76031/Q13838/O00571/Q99832/Q7L2E3/P17844/P48643/P78371/P50990/O75643/P40227/P62195/P07900/Q8N3C0/Q7L014/Q9Y230/Q9NR30/P36776/Q9Y265,57
MF,GO:0042802,identical protein binding,170/761,352/1862,0.482954545,1.181683789,3.146088192,0.001064015,0.041496603,0.036587198,Q15154/Q03188/P98170/O43252/Q9H773/Q9Y5K6/P08670/P17980/Q15233/P21333/O00264/P46379/O75525/Q00839/P17858/P08238/P35520/P02768/Q6NT76/P30041/P35637/Q06830/P06733/Q8WUM4/P41250/P09874/Q14376/P49419/P43243/Q92889/Q13158/P04406/P60174/P14618/Q92878/O43765/Q9BTV4/P12270/Q15691/P54886/Q9Y617/P22626/P34897/P31153/O75390/P29401/P31943/P61978/P04040/O14745/P55072/P14174/Q13111/Q01844/Q9Y613/O75369/Q15102/P31939/O14776/Q99497/Q9Y5V3/Q16836/Q01469/Q14566/P00338/P98175/Q9Y697/P04179/Q09666/P08195/Q13162/P61970/P07814/P35579/P61289/Q96M27/Q9BZX2/P53041/P23246/P21796/Q15149/P51659/O43395/Q92530/P00492/P24752/P30626/Q9NQH7/Q9Y2I1/Q04206/P11413/P19623/O43809/Q00796/P23921/P10515/Q15853/P00441/Q9NWU2/Q13838/Q6YP21/Q99832/P63244/O60502/P55735/Q15019/Q8WWY3/Q9BY67/Q32MZ4/P05412/Q9UKG1/P31949/Q96EP0/P38159/Q01813/P25325/Q99873/Q13185/Q15257/P62258/P06213/P40926/O75643/Q16222/Q9NQX3/P35221/Q9NX58/P29966/P12081/O60220/P07900/Q9BSJ8/P12004/Q15631/O95292/Q9HB71/P06748/Q9BR76/P55036/P07602/P50479/P51114/Q13740/Q8IUI8/Q9Y230/P07195/Q9Y6D9/P22234/Q9Y295/Q01581/P39019/P18847/Q8NCW5/Q9NR30/Q9UL46/O60232/Q13123/O94906/Q13867/O75531/Q99961/Q9NQW7/P36776/P49959/Q15046/O43707/P02786/P78317/P11388/Q9GZZ9,170
CC,GO:0031983,vesicle lumen,49/757,85/1854,0.576470588,1.411857953,3.228310799,0.00101254,0.045058015,0.042899707,Q13813/Q86VP6/P17980/P12956/P17858/P08238/P02768/P53396/P30041/P06396/P14618/P11142/P13010/P04040/Q13200/P55072/P14174/P18206/P35573/Q14204/Q01469/Q13162/P20618/Q99536/P13639/Q9UJU6/P07741/Q15008/Q9BS26/O00571/P07437/O43242/P78371/P31949/P62937/P50990/Q14974/Q9UNM6/Q96G03/Q01432/P07900/Q9UQ80/P09211/Q7Z4R8/Q99460/P09972/P68371/O43707/Q9UNF1,49
CC,GO:0034774,secretory granule lumen,49/757,85/1854,0.576470588,1.411857953,3.228310799,0.00101254,0.045058015,0.042899707,Q13813/Q86VP6/P17980/P12956/P17858/P08238/P02768/P53396/P30041/P06396/P14618/P11142/P13010/P04040/Q13200/P55072/P14174/P18206/P35573/Q14204/Q01469/Q13162/P20618/Q99536/P13639/Q9UJU6/P07741/Q15008/Q9BS26/O00571/P07437/O43242/P78371/P31949/P62937/P50990/Q14974/Q9UNM6/Q96G03/Q01432/P07900/Q9UQ80/P09211/Q7Z4R8/Q99460/P09972/P68371/O43707/Q9UNF1,49
CC,GO:0060205,cytoplasmic vesicle lumen,49/757,85/1854,0.576470588,1.411857953,3.228310799,0.00101254,0.045058015,0.042899707,Q13813/Q86VP6/P17980/P12956/P17858/P08238/P02768/P53396/P30041/P06396/P14618/P11142/P13010/P04040/Q13200/P55072/P14174/P18206/P35573/Q14204/Q01469/Q13162/P20618/Q99536/P13639/Q9UJU6/P07741/Q15008/Q9BS26/O00571/P07437/O43242/P78371/P31949/P62937/P50990/Q14974/Q9UNM6/Q96G03/Q01432/P07900/Q9UQ80/P09211/Q7Z4R8/Q99460/P09972/P68371/O43707/Q9UNF1,49
MF,GO:0016836,hydro-lyase activity,11/761,13/1862,0.846153846,2.070352775,3.218859461,0.001572268,0.05518662,0.048657569,P49327/P35520/P06733/Q99497/P07954/P51659/P30084/Q99798/P00918/P40939/P55084,11
MF,GO:0030554,adenyl nucleotide binding,133/761,272/1862,0.488970588,1.196403726,2.913449317,0.002313491,0.07382141,0.065087703,P49368/Q08211/Q9UN37/O43252/P22102/Q92841/P43686/P17980/P10809/P12956/Q00839/P17858/P08238/O95347/P06576/P53396/P41250/P09874/P60842/P14625/P34932/O43175/P38646/Q14444/P49588/P04406/P14618/Q92878/Q9NTJ3/O43681/P11142/Q9Y6G9/P54886/P13010/P31153/P04040/P50213/Q12931/P55072/P11021/P50991/P54577/P26640/Q9Y3D8/P61086/Q13283/P25205/P05023/Q92900/Q16836/Q14204/Q9H4A3/Q14566/O15067/Q8NB49/Q8WVB6/P07814/P25705/P35579/P11586/Q02224/P33992/Q9BZX2/P35249/P53041/P21796/P12532/P07741/P11413/P45880/Q92598/P30049/Q00796/P36507/P23921/P00558/Q9UQE7/Q14692/O76031/P31689/Q13838/O00571/Q99832/Q96CM8/Q7L2E3/P41252/Q9Y285/P17844/P14868/P48643/P78371/Q96EY1/Q9NSE4/O95573/Q14166/P50990/Q9NSD9/Q15257/P06213/O75643/P40227/A0AVT1/Q9NQX3/Q8TB37/P47897/Q9P2J5/P51003/P46013/P12081/Q15418/P62195/P07900/P22314/Q16763/O43615/Q8N3C0/P40939/Q9UHD1/Q9Y4L1/Q7L014/Q04637/Q9Y230/Q02790/P07195/P22234/Q9NR30/Q9UBK8/O95757/P36776/Q15046/Q9Y265/P11388/Q9GZZ9,133
BP,GO:2000573,positive regulation of DNA biosynthetic process,15/748,18/1817,0.833333333,2.024286988,3.652264272,2.95E-04,0.080706831,0.077328158,P49368/Q14103/P50991/Q8WVB6/P35249/Q99832/P48643/P78371/O94782/P50990/Q15185/P40227/P20248/P07900/P12004,15
