ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0050839,cell adhesion molecule binding,89/762,166/1862,0.536144578,1.310106568,3.483424599,3.71E-04,0.018585737,0.017557377,P06733/Q13813/Q01082/P21333/O75369/O00571/P63244/P11142/P62826/P27797/Q9Y371/Q14677/P60228/Q16658/O43707/P35221/P63104/P50990/P33176/Q05682/Q8NC51/Q14C86/Q9Y490/Q9UBC2/P22234/P13639/Q06830/Q9H4M9/O00151/Q6Y7W6/P14618/P31939/P19022/P08648/P26641/P46940/P50552/P43487/P29692/P35579/P61978/Q01970/Q14126/P22061/Q7KZF4/P11021/P15924/Q15907/Q9Y5X1/O00299/P07237/P46060/P20810/P49327/O60664/Q09666/P07737/Q9P0L0/Q96AC1/P62937/Q9UHB6/P37802/P62258/Q13492/P42166/Q92597/Q86UP2/O14908/P49959/P50402/Q92616/P46109/O95433/O95817/Q8TCG1/Q16513/Q15149/P08195/Q14247/O76021/O60716/Q9UJU6/Q9Y5X3/Q8WWM7/Q00341/Q8IUD2/Q8WX93/Q9UGI8/Q13177,89
BP,GO:0051247,positive regulation of protein metabolic process,99/742,180/1817,0.55,1.346832884,4.071812983,3.78E-05,0.025025283,0.022401306,Q14103/P35080/P06733/P55072/Q9NZI8/P07900/Q07021/Q13144/Q04637/P10809/O00571/P07339/P63244/P48506/O94874/P11142/P11940/P60228/P62191/P67809/Q15717/Q71RC2/O75368/Q14011/P13010/Q9UBT2/P61604/P05455/O60934/Q13546/O14641/P43686/P16989/Q7Z434/P58546/P13639/Q13153/P14618/Q96QK1/P08648/P78527/P46940/Q99996/O75674/P35579/P06748/Q13620/Q9Y5A7/Q96N67/Q7Z6Z7/P11021/Q8N668/Q16531/Q16763/P62877/P63208/P61086/P17980/O43847/Q9Y5X1/Q9BVP2/Q9NVI1/Q96A49/Q9BWF3/P98179/P46379/Q9NR28/Q96AC1/P62937/Q9Y5A9/Q13492/Q9H3P2/P51149/P49959/Q9ULT8/P61289/P12956/O43765/P02786/P46109/Q00839/Q9H2U1/Q96A26/P08047/Q14790/P62195/O75534/P46777/O95831/Q9UNN5/O15371/Q9UBE0/O43432/Q8NF37/Q06787/O60506/P38919/P68036/Q13177,99
BP,GO:0009057,macromolecule catabolic process,149/742,289/1817,0.515570934,1.262523433,4.04213638,3.90E-05,0.025025283,0.022401306,Q14103/P55072/Q9UPQ9/Q9NZI8/P07900/P20618/O75312/P21333/Q13148/P09936/P07339/P63244/P48506/O94874/P11142/P62495/P27797/Q9GZS3/P17844/P49459/Q9Y371/Q8N163/P11940/P60228/P62191/P67809/Q15717/P63279/O75368/Q14011/P10253/P05455/Q8TCS8/P35637/Q13546/Q9BQA1/Q8NC51/Q15393/P43686/O60502/Q9UNM6/P14625/P22314/Q9Y2V2/Q6ICB0/Q9BQ52/P16989/Q9Y263/P08670/Q6Y7W6/P27824/Q96QK1/P35232/Q92879/O00273/P51665/O75674/Q9NPI6/Q9Y5K5/P49069/P06748/Q13620/Q92945/O14818/Q9Y5A7/Q7KZF4/Q7Z6Z7/P11021/Q8N668/Q9HCN8/Q16531/Q16763/P42285/Q9BRG1/O95071/P62877/P63208/P61086/Q5VTR2/P17980/P82094/Q93009/O43847/Q9Y5X1/Q9H0D6/Q9UKD2/Q9NQT4/P60900/P15374/P13489/Q8WUM4/Q9H814/P46379/Q5RKV6/Q9NT62/Q14671/Q13263/Q9Y5A9/Q15366/Q96PU8/P60604/Q96F86/P51149/O14908/O75844/Q12849/O15234/Q9ULT8/Q13310/P61289/O43765/Q6P2E9/Q9Y6X8/P62081/O95817/Q00839/Q9H2U1/Q7Z6E9/Q9Y6Y0/Q6PJT7/Q14790/P06737/P62195/A0AVT1/O75534/A5YKK6/P46777/Q13200/P60468/P54727/Q9UNZ2/O95831/Q16740/Q9Y5X3/Q9UNN5/Q9Y4Y9/Q13438/Q8NF37/Q06787/P42704/O60506/O14773/Q9BVT8/P38919/Q99460/Q9NYU2/Q96K19/Q92922/P68036,149
MF,GO:0045296,cadherin binding,80/762,149/1862,0.536912752,1.311983653,3.303700137,7.08E-04,0.031070262,0.029351124,P06733/Q13813/Q01082/P21333/O75369/O00571/P63244/P11142/P62826/Q9Y371/Q14677/P60228/Q16658/P35221/P63104/P50990/P33176/Q05682/Q8NC51/Q14C86/Q9Y490/Q9UBC2/P22234/P13639/Q06830/Q9H4M9/O00151/Q6Y7W6/P14618/P31939/P19022/P26641/P46940/P50552/P43487/P29692/P35579/P61978/Q01970/P22061/Q7KZF4/P11021/Q15907/Q9Y5X1/O00299/P46060/P20810/P49327/O60664/Q09666/P07737/Q9P0L0/Q9UHB6/P37802/P62258/Q13492/P42166/Q92597/Q86UP2/O14908/P49959/P50402/Q92616/P46109/O95433/O95817/Q8TCG1/Q16513/Q15149/P08195/Q14247/O76021/O60716/Q9UJU6/Q9Y5X3/Q8WWM7/Q00341/Q8IUD2/Q9UGI8/Q13177,80
BP,GO:2000765,Regulation of cytoplasmic translation,13/742,14/1817,0.928571429,2.2738737,3.974185812,7.22E-05,0.031987752,0.028633739,Q14103/Q9NZI8/P11940/P67809/O75368/P16989/P14618/Q9Y5A9/Q00839/Q9H2U1/O75534/Q06787/O60506,13
BP,GO:1900182,positive regulation of protein localization to nucleus,22/742,29/1817,0.75862069,1.85770053,3.86728842,1.23E-04,0.031987752,0.028633739,P12270/P07900/O75312/P21333/Q13148/P62826/P50990/Q99832/P49368/Q7Z434/P17987/P78371/O95071/O95373/Q96AC1/Q13263/O00410/P48643/P09874/P02786/O95817/Q9NW64,22
BP,GO:0098760,response to interleukin-7,10/742,10/1817,1,2.448787062,3.815760652,1.24E-04,0.031987752,0.028633739,P10809/P67809/P31939/P31948/P30101/P07237/P06576/O14908/P46109/P54727,10
BP,GO:0098761,cellular response to interleukin-7,10/742,10/1817,1,2.448787062,3.815760652,1.24E-04,0.031987752,0.028633739,P10809/P67809/P31939/P31948/P30101/P07237/P06576/O14908/P46109/P54727,10
BP,GO:0042306,Regulation of protein import into nucleus,14/742,16/1817,0.875,2.142688679,3.813174695,1.56E-04,0.031987752,0.028633739,P12270/P07900/O75312/Q9BVL2/P21333/Q13148/P62826/Q7Z434/O95071/Q7Z3B4/Q13263/O00410/O95817/Q9NW64,14
BP,GO:1900180,regulation of protein localization to nucleus,28/742,40/1817,0.7,1.714150943,3.793428813,1.56E-04,0.031987752,0.028633739,P12270/P07900/O75312/Q9BVL2/P21333/Q13148/P62826/P35221/P63104/P50990/Q99832/P49368/Q7Z434/P02545/P17987/P78371/O95071/Q7Z3B4/O95373/Q96AC1/Q13263/O00410/P48643/P09874/P02786/O95817/Q9NW64/O15381,28
BP,GO:0042307,positive regulation of protein import into nucleus,12/742,13/1817,0.923076923,2.260418826,3.788121792,1.66E-04,0.031987752,0.028633739,P12270/P07900/O75312/P21333/Q13148/P62826/Q7Z434/O95071/Q13263/O00410/O95817/Q9NW64,12
BP,GO:0006950,response to stress,234/742,491/1817,0.476578411,1.167039048,3.598675047,2.06E-04,0.035610562,0.031876687,P10321/P12270/P06733/P55072/Q9NZI8/P07900/Q14676/Q99966/Q7Z4V5/Q07021/Q13144/P21333/P00558/Q04637/P10809/Q13148/O75369/O00571/P09936/Q99459/P34932/P13667/P63244/P48506/O94874/P11142/Q9Y230/P05023/P27797/P30566/P23246/P17844/P49459/Q9Y371/P27708/Q8N163/P09211/P67809/P63167/Q96AY3/P35221/Q14011/P13010/P33993/P63104/P61604/Q8TCS8/P35637/P33176/O60934/Q13546/Q5JRA6/P27694/Q15393/Q9Y490/P55957/Q92785/P14625/P22314/Q9H3Q1/P37198/Q13573/P16989/Q7Z434/P43243/P07954/O00469/Q06830/P33991/P21964/Q9Y263/P02545/O60883/P08670/O60884/Q53F19/O00151/Q13153/Q6Y7W6/Q53FT3/P27824/P04040/Q96QK1/P35232/P22415/P08648/P78527/Q92879/P29966/Q8WVD3/P29692/Q9Y5K5/P35579/Q8WVM8/Q7Z3K3/Q99615/P49069/P61978/P06748/Q13620/P12004/Q9Y277/Q9Y5A7/Q7Z6Z7/P11021/Q8N668/P04406/Q9HCN8/Q16531/P42285/Q2TAL8/P15924/O95071/Q12931/P62877/P61086/P30101/Q13445/P82094/Q9UQE7/Q92905/P61158/Q93009/P50542/O00299/P07196/Q9NQT4/P60900/Q99986/P07237/Q9P287/P63261/P46060/Q9UJZ1/Q9NVI1/Q14166/O43747/P30519/O95373/O94992/O15027/Q99543/P49327/O60664/Q9BWF3/O95219/Q09666/P46379/Q96AC1/P62937/Q14671/Q13263/O00410/P78318/P62258/Q9Y5A9/Q9Y4L1/P60953/O75663/Q15366/Q92597/Q15291/P60510/P09874/P60604/Q9NYF8/P49959/O96019/O75844/Q8NFC6/Q15233/Q99798/O14545/Q13310/Q92616/P12956/O43765/Q9BTV4/Q8WXF1/P02786/P25205/O95817/Q9H2U1/Q7Z6E9/Q96A26/O00244/Q16595/P31150/P25490/P07814/P08047/Q8TCG1/Q14790/P06280/Q15149/Q12906/Q9NR30/Q96BT7/Q96HE7/Q9BRT9/O76021/Q15084/P46821/Q8TAQ2/Q08209/Q12904/P51812/P60468/O60828/P54727/Q9BTK6/Q14694/Q9BUA3/Q9BT09/O95831/Q9UNN5/P11413/Q01804/Q12846/Q92499/P54577/Q13438/Q06787/P43246/O60506/P07437/Q9BVT8/Q6ZWJ1/Q9NYU2/Q96K19/Q92922/Q9UHD1/Q9NR31/Q13177,234
BP,GO:0048731,system development,191/742,392/1817,0.487244898,1.193159002,3.586792039,2.22E-04,0.035610562,0.031876687,Q14103/Q15185/Q9NZI8/P07900/P25098/Q01082/Q99966/Q13144/O75312/P21333/P00558/P60891/Q04637/P10809/P09936/P19338/O94874/P11142/P04818/P26373/P62826/P27797/Q9HB71/P27348/P27708/P09211/P63167/Q96AY3/P35221/P13010/P63104/P10253/Q8IWX8/Q9Y6I3/Q8TCS8/P33176/O60934/Q05682/Q5JRA6/Q9BQA1/O43306/Q14203/O14641/P78347/Q92785/O43776/Q13573/Q15637/P16989/P43243/P26358/P58546/Q06830/P21964/Q9Y263/P02545/O60883/P08670/P11717/Q04917/P55209/Q9H4M9/O00151/Q13153/Q6Y7W6/Q53FT3/P14618/Q13439/P31939/P04040/Q02790/Q96QK1/P19022/P08648/P78527/P29966/P13797/P46940/P63010/P50552/Q9Y5K5/P35579/Q14126/Q13620/P12004/Q96N67/P29373/P11021/P14854/P15924/P30626/P82094/P49321/O43847/Q4VCS5/P50542/Q9Y3F4/Q9H0D6/P07196/Q99986/Q9P287/Q9Y696/P63261/P16949/Q10567/Q9P0K8/Q13428/P27816/P13489/O94992/O15027/O43175/P06576/Q15904/P46379/P07737/Q5RKV6/Q9P0L0/P62937/Q96DF8/P18859/Q9BRK5/P61201/P62258/Q9Y5A9/Q13492/P60953/Q92597/Q07955/Q96PU8/Q15102/O96019/O75844/P60983/Q99798/O95197/Q9ULT8/P48444/P02786/P46109/Q8WY36/Q9Y6X8/P62081/P50570/Q00839/Q96T58/Q9H2U1/O43181/O60271/P14314/P31150/P25490/Q6P3W7/P08047/Q14790/P06280/Q15149/Q15293/A0AVT1/Q14247/O75534/P46821/Q8TAQ2/Q08209/O14744/Q12904/Q9UJU6/Q9Y467/P51812/O60828/Q9NR56/Q8IZ21/O95831/O75083/P49711/P11413/P11586/P23381/Q8WX93/Q9BXP5/Q9UN36/P09960/Q86XL3/Q8NF37/Q06787/P43246/O14773/Q14151/P38919/Q92922/Q13177,191
BP,GO:0007275,multicellular organism development,223/742,467/1817,0.47751606,1.16933515,3.526097479,2.71E-04,0.04017417,0.035961786,Q14103/Q9Y478/Q15185/Q9NZI8/P07900/P25098/Q01082/Q99966/P30419/Q07021/Q13144/O75312/P21333/P00558/P60891/Q04637/P10809/P62805/P09936/P19338/P63244/Q9Y3I0/O94874/P11142/P04818/P26373/Q9Y230/P62826/P27797/Q9GZS3/Q9HB71/P27348/P27708/P09211/P67809/P63167/Q96AY3/P35221/P13010/Q9UK61/P63104/P10253/Q8IWX8/Q9Y6I3/Q8TCS8/P33176/O60934/Q05682/Q13546/Q5JRA6/Q9BQA1/O43306/Q14203/O14641/P78347/Q92785/P43686/P22033/P38646/O43776/Q13573/Q15637/P16989/P43243/P26358/P58546/Q06830/P21964/Q9Y263/P02545/O60883/P08670/P11717/Q04917/P55209/Q9H4M9/O00151/Q13153/Q6Y7W6/Q53FT3/P14618/Q13439/P31939/P04040/Q02790/Q96QK1/P19022/P08648/P78527/Q92879/P29966/P13797/P46940/P20290/P63010/P50552/Q9NR09/Q9Y5K5/P35579/Q14126/Q13620/P12004/Q96N67/P29373/P11021/Q13951/P14854/P15924/P30626/P82094/P49321/O43847/Q4VCS5/P50542/Q9Y3F4/Q9H0D6/P07196/Q99986/Q9P287/Q9Y696/P63261/P16949/Q10567/Q9P0K8/Q13428/Q9H0G5/O95373/P27816/P13489/O94992/O15027/O43175/P06576/Q15904/P46379/P07737/Q5RKV6/Q9P0L0/Q96AC1/P62937/Q96DF8/P18859/Q13263/Q9BRK5/P61201/P62258/Q9Y5A9/Q13492/P60953/Q92597/Q07955/Q96PU8/Q15102/O96019/O75844/P60983/Q12849/Q99798/O43290/O95197/Q9ULT8/P12956/P48444/P02786/P46109/Q8WY36/Q9Y6X8/P62081/P50570/Q00839/Q96T58/Q9H2U1/Q7Z6E9/O43181/Q16595/O60271/P14314/P31150/P25490/Q6P3W7/P08047/Q14790/P06280/Q15149/Q5M775/Q15293/A0AVT1/Q14247/Q9BRT9/O75534/A5YKK6/P46821/Q8TAQ2/Q08209/O14744/Q12904/Q9UJU6/Q9Y467/P51812/O60828/P54727/Q9NR56/Q8IZ21/O95831/O75083/P49711/P11413/P11586/Q9Y3C6/P23381/Q8WX93/Q9BXP5/Q9UN36/P09960/Q86XL3/Q8NF37/Q06787/P43246/O14773/Q14151/P38919/Q92922/Q13177,223
BP,GO:0042692,muscle cell differentiation,28/742,41/1817,0.682926829,1.672342384,3.616734091,3.03E-04,0.041696925,0.037324876,Q7Z4V5/P09936/P27797/P67809/O43707/P68133/P26599/Q9BYT8/P26358/P58546/P02545/Q9H4M9/P19022/P35579/P63261/Q9BWF3/Q96PU8/O75844/P11047/Q00839/O60271/P25490/Q15149/Q08209/O75083/P49711/P11413/Q13045,28
CC,GO:0009986,Cell surface,33/762,51/1854,0.647058824,1.574339972,3.473442738,4.82E-04,0.042871942,0.036888631,P10321/P06733/P07900/Q07021/P10809/P13667/P11142/P27797/Q9Y490/P11717/P35232/P19022/P08648/P25705/Q14126/P11021/P30101/P30533/O43847/Q4VCS5/P07237/Q9Y696/Q8TCZ2/P06576/Q96AC1/Q13492/P02786/Q00839/P08195/P04440/O60716/Q12904/Q12846,33
MF,GO:0070717,poly-purine tract binding,13/762,16/1862,0.8125,1.985400262,3.293905582,0.00116077,0.043187883,0.04079827,O00571/Q4VXU2/P11940/Q71RC2/Q8TCS8/Q86U42/Q13310/Q00839/O14979/Q6PJT7/Q92499/Q06787/P38919,13
MF,GO:0051020,GTPase binding,40/762,67/1862,0.597014925,1.458847495,3.18293573,0.001230424,0.043187883,0.04079827,P06733/P07900/Q01082/P21333/P67809/Q14C86/O14641/Q9H3Q1/P16989/Q9H4M9/Q13153/Q13439/P46940/P43487/Q14974/Q96N67/Q6IAA8/Q8TD16/P50542/P46060/Q9UJZ1/O43747/O95373/Q15904/P07737/O00410/P49792/Q13492/Q92597/P51149/Q9BWQ6/P31150/P07814/Q16513/Q8TBA6/Q9H6Z4/Q12904/Q9UPN7/Q8IUD2/Q13177,40
BP,GO:0045727,Positive regulation of translation,31/742,47/1817,0.659574468,1.615157424,3.548985361,3.77E-04,0.048444129,0.043364615,Q14103/Q9NZI8/Q07021/Q13144/Q04637/O00571/P11940/P60228/P67809/Q15717/Q71RC2/O75368/Q14011/P05455/P16989/P13639/P14618/P78527/P06748/Q9BWF3/P98179/Q9Y5A9/Q00839/Q9H2U1/O75534/P46777/O15371/O43432/Q06787/O60506/P38919,31
BP,GO:0072359,circulatory system development,55/742,95/1817,0.578947368,1.417718825,3.473640901,4.27E-04,0.048755727,0.04364354,P25098/Q99966/P21333/P00558/P19338/P27797/Q9HB71/P27708/Q96AY3/P63104/P10253/Q9Y6I3/Q05682/Q5JRA6/O14641/P78347/P43243/P26358/P21964/P02545/O00151/P14618/P19022/P08648/P78527/P63010/P35579/Q14126/P12004/P15924/P30626/Q4VCS5/Q9Y696/P63261/Q10567/Q9P0K8/P13489/O94992/P06576/P60953/Q96PU8/O75844/Q9ULT8/P46109/Q00839/Q9H2U1/P25490/P08047/Q14790/Q15149/Q12904/P49711/P11413/P11586/P23381,55
BP,GO:0010608,post-transcriptional regulation of gene expression,83/742,154/1817,0.538961039,1.319800819,3.445477754,4.31E-04,0.048755727,0.04364354,Q14103/P12270/Q9UPQ9/Q9NZI8/Q07021/Q13144/Q04637/Q13148/O00571/P19338/P63244/P04818/P62826/P62495/P27797/P11940/P60228/P67809/Q15717/Q71RC2/O75368/Q14011/P05455/Q8TCS8/P35637/Q13546/Q8NC51/O60739/Q9Y2V2/Q14240/O60841/Q9UGR2/P16989/P43243/P58546/P13639/P08670/Q53F19/Q6Y7W6/P14618/P78527/Q92879/Q9UQ80/Q9NPI6/P06748/Q92945/P41567/P04406/P82979/O43809/Q12931/Q96KC8/Q13428/P23588/Q9H814/Q9BWF3/P98179/Q14671/Q8N543/Q8NEJ9/Q9Y5A9/Q96PU8/O75844/O15234/Q13310/Q92616/Q00839/Q9H2U1/Q6PJT7/P07814/Q12906/O75534/A5YKK6/P46777/P51812/Q92499/O15371/O43432/Q06787/P42704/O60506/P38919/Q6IA86,83
MF,GO:0008143,poly(A) binding,11/762,13/1862,0.846153846,2.067635776,3.214257521,0.0015928,0.050824816,0.048012646,O00571/Q4VXU2/P11940/Q71RC2/Q86U42/Q13310/Q00839/O14979/Q6PJT7/Q92499/P38919,11
CC,GO:0005882,intermediate filament,10/762,11/1854,0.909090909,2.211882606,3.366651039,9.19E-04,0.050858742,0.043760774,P20700/P11142/P02545/P08670/P07197/Q9H307/Q03252/P15924/P07196/Q15149,10
CC,GO:0042470,melanosome,28/762,43/1854,0.651162791,1.584325215,3.237676898,0.001124058,0.050858742,0.043760774,Q16563/P07900/P13667/P07339/P11142/P05023/P62826/P63104/P14625/Q06830/P55209/P27824/Q7KZF4/P11021/P30101/P08133/P07237/Q8WUM4/P49327/Q14697/P62258/P51149/P02786/Q00610/P08195/Q15084/O14773/P61019,28
CC,GO:0048770,pigment granule,28/762,43/1854,0.651162791,1.584325215,3.237676898,0.001124058,0.050858742,0.043760774,Q16563/P07900/P13667/P07339/P11142/P05023/P62826/P63104/P14625/Q06830/P55209/P27824/Q7KZF4/P11021/P30101/P08133/P07237/Q8WUM4/P49327/Q14697/P62258/P51149/P02786/Q00610/P08195/Q15084/O14773/P61019,28
CC,GO:0031410,cytoplasmic vesicle,162/762,333/1854,0.486486486,1.183656097,3.09005875,0.001285755,0.050858742,0.043760774,P10321/P55072/Q13813/Q16563/P07900/P20618/P10809/O75369/O00571/P19338/P13667/P07339/Q9Y6Y8/Q7Z401/P11142/P05023/P62826/P27797/P49459/Q9Y371/Q9Y5Z4/P09211/Q14677/Q15717/O43707/P63167/P35221/P13010/P63104/P50990/P10253/Q9Y6I3/P33176/Q13546/Q14C86/O14641/Q9UNM6/P14625/P22314/Q9H3Q1/P13639/Q06830/P08670/Q658Y4/Q86Y82/P11717/P55209/Q9H4M9/Q8NBS9/Q6Y7W6/P14618/P27824/P04040/Q96QK1/P35232/P17987/P08648/Q9BTT0/P78371/O75695/P46940/Q9Y6G9/P63010/P51665/Q9UQ80/O75674/Q9NR09/P35579/Q8WVM8/Q14974/Q9Y678/Q7KZF4/Q7Z6Z7/P11021/Q8N668/P15924/P30626/Q9BRG1/O95486/P30101/P17980/Q13445/Q6IAA8/Q92905/P08133/Q4V328/P30533/Q8TD16/Q15907/Q4VCS5/Q9Y5X1/P07237/Q9Y696/P63261/Q10567/Q5VIR6/O43747/P30519/Q8WUM4/O15027/Q07866/P49327/O60664/O95219/Q15904/Q96SU4/Q9P0L0/P62937/Q14697/Q9BRK5/Q7Z3T8/P46976/P62258/Q13492/Q9Y4L1/P12268/P60953/Q92597/P51149/Q9Y3B3/O14908/Q9BWQ6/O75844/P12956/P48444/P02786/P50570/Q00610/P09497/Q12905/O60271/Q9H0V9/Q6P3W7/P06737/P06280/P62195/P08195/P04440/Q14247/P36871/Q8TBA6/Q15084/P68402/Q13200/Q9UJU6/Q14694/Q9Y5X3/Q12846/P09972/P09960/Q6ZMI0/Q8NF37/P07437/Q14204/O14773/Q9BVT8/Q6ZWJ1/Q99460/P61019/P53396/Q9NR31/Q13177,162
